Minutes to metro,Area,Living area,Kitchen area,Floor,Number of floors,Number of rooms,Apartment type,Renovation
6,30.6,11.1,8.5,25,25,1,Secondary,yes
2,49.2,20,10,6,15,1,Secondary,yes
14,44.7,16.2,13.1,10,25,1,Secondary,yes
8,35.1,16,11,12,33,1,Secondary,yes
6,37.7,15.2,4,5,5,1,Secondary,no
6,38.4,18,8,8,18,1,Secondary,yes
11,33,16,8,7,7,1,Secondary,yes
27,25,14.8,8.7,16,34,1,Secondary,yes
6,41.8,18,10,6,17,1,Secondary,yes
35,44,19,11,11,24,1,Secondary,yes
17,44.8,15,10.3,5,6,1,Secondary,yes
16,39,21.9,9.9,26,30,1,Secondary,yes
12,48,23,9,12,28,1,Secondary,yes
3,33.8,17,7,4,9,1,Secondary,no
19,32.7,18,6,9,9,1,Secondary,yes
19,32.1,18.4,9.3,2,9,1,Secondary,no
7,34.9,17,9,2,14,1,Secondary,yes
7,38,17.4,9,8,14,1,Secondary,yes
6,40,16.1,9.8,17,24,1,Secondary,yes
6,47.6,26,12,8,11,1,Secondary,yes
12,32.5,18.6,9.3,1,8,1,Secondary,yes
8,36.5,13,15,23,33,1,Secondary,yes
5,33.75,16.5,8.6,3,8,1,Secondary,yes
15,39.1,18,11,17,29,1,Secondary,no
16,38,21.3,9.8,6,19,1,Secondary,yes
11,50.8,23.2,11.6,14,22,1,Secondary,yes
16,38.1,21.4,9.8,5,19,1,Secondary,yes
6,39.5,16.6,12,20,26,1,Secondary,yes
7,39.5,14,14.1,2,26,1,Secondary,yes
5,44,18,11.6,10,25,1,Secondary,yes
16,32.1,9,18,23,45,1,Secondary,yes
9,42,9,10.1,4,23,1,Secondary,yes
20,37.7,18.9,7.4,8,17,1,Secondary,no
20,38.6,21.6,9.8,16,17,1,Secondary,yes
7,42.3,23.5,10.1,7,17,1,Secondary,yes
8,38.6,17,12,16,32,1,Secondary,yes
15,43,19.6,5,3,17,1,Secondary,yes
16,36.5,20.6,9.7,5,45,1,Secondary,yes
2,28,18,7,12,31,1,Secondary,yes
36,18.3,13,2.3,5,5,1,Secondary,yes
6,31,18,6,1,4,1,Secondary,yes
13,31,18,6,5,5,1,Secondary,yes
29,45,28,7,1,3,1,Secondary,yes
7,26.6,16.5,5,23,26,1,Secondary,yes
5,32.5,20,7,7,9,1,Secondary,yes
12,28.3,17,6,3,5,1,Secondary,no
4,23,14.5,3.5,4,5,1,Secondary,yes
10,31,18,9.2,3,5,1,Secondary,yes
4,23,14.5,3.5,4,5,1,Secondary,yes
7,30.5,14,9.5,13,25,1,Secondary,yes
6,39,10,9.9,7,18,1,Secondary,yes
6,39,9,9.9,5,18,1,Secondary,yes
19,32,18.3,9.3,1,7,1,Secondary,yes
7,32,17,6,4,5,1,Secondary,yes
7,30,10.9,8.3,25,25,1,Secondary,yes
8,19.5,12,8.3,2,22,1,Secondary,yes
6,34.7,19,10,11,16,1,Secondary,no
17,31.8,13.7,10,19,25,1,Secondary,yes
16,34,15,11,4,12,1,Secondary,yes
16,34,15,11,6,12,1,Secondary,yes
19,34,18,6,1,6,1,Secondary,yes
7,35.5,14.9,11.5,12,25,1,Secondary,yes
16,40.8,17,14.9,2,8,1,Secondary,no
15,35.5,16,11.5,2,12,1,Secondary,no
16,35.4,17,8.4,4,14,1,Secondary,yes
5,37.9,18,9,9,18,1,Secondary,yes
14,35.1,17.7,8,5,9,1,Secondary,yes
18,29,15.2,5,5,5,1,Secondary,yes
8,37,14.5,10.1,15,24,1,Secondary,yes
6,32.6,13.8,8.7,3,9,1,Secondary,yes
20,46,20,8,11,25,1,Secondary,no
39,38,19,9,9,14,1,Secondary,yes
5,39.6,17.6,8.2,2,18,1,Secondary,yes
17,40,22.4,9.9,4,25,1,Secondary,yes
7,35.6,14,11.4,7,24,1,Secondary,yes
6,40,15.7,8.2,2,11,1,Secondary,yes
15,32,19,6,3,5,1,Secondary,yes
6,38,19,8,7,17,1,Secondary,yes
8,39.5,10,9.9,2,18,1,Secondary,yes
6,38.4,16.8,10.4,14,26,1,Secondary,yes
5,39.3,13.2,13.2,22,25,1,Secondary,yes
7,39.3,19.5,9.4,3,14,1,Secondary,yes
6,39.5,12.7,15.1,22,25,1,Secondary,yes
6,34,15,8,9,9,1,Secondary,yes
4,32,15,10,2,8,1,Secondary,no
10,32.2,15,9.1,9,12,1,Secondary,yes
12,32,17,10,7,21,1,Secondary,yes
12,57,20.6,12,1,10,1,Secondary,yes
6,37.4,15.2,11.1,5,25,1,Secondary,no
6,34,14,10,20,27,1,Secondary,yes
4,34.6,20,7,12,12,1,Secondary,yes
6,35.5,19,9,8,25,1,Secondary,yes
6,39,17,9,3,18,1,Secondary,yes
5,46.8,22.3,7.7,1,10,1,Secondary,yes
7,38.8,14.1,13.3,24,25,1,Secondary,yes
6,38.1,18,10,20,26,1,Secondary,yes
7,34.6,17,10,25,26,1,Secondary,yes
4,39.4,10,9.9,12,12,1,Secondary,yes
6,40.4,16.3,11.1,1,17,1,Secondary,yes
